Id,Account,Amount,Description,From,To,Change From,Change To,Date
"16","2vendorf9078c0f","50","withdrawal","vendor","admin","8583","8533","2022-01-08 07:08:03","2022-01-08 07:08:03","object:55",
"15","2vendorf9078c0f","50","withdrawal","vendor","admin","8633","8583","2022-01-08 07:07:57","2022-01-08 07:07:57","object:56",
"14","2vendorf9078c0f","50","withdrawal","vendor","admin","8583","8633","2022-01-08 07:05:29","2022-01-08 07:05:29","object:57",
"13","2vendorf9078c0f","50","deposit","admin","vendor","8533","8583","2022-01-08 07:05:23","2022-01-08 07:05:23","object:58",
"12","2vendorf9078c0f","3000","withdrawal","vendor","admin","5533","8533","2022-01-08 07:05:03","2022-01-08 07:05:03","object:59",
"11","2vendorf9078c0f","3000","deposit","admin","vendor","2533","5533","2022-01-08 07:04:57","2022-01-08 07:04:57","object:60",
"10","2vendorf9078c0f","333","deposit","admin","vendor","2200","2533","2022-01-08 07:04:48","2022-01-08 07:04:48","object:61",
"9","2vendorf9078c0f","100","withdrawal","vendor","admin","2100","2200","2022-01-08 07:02:52","2022-01-08 07:02:52","object:62",
"8","2vendorf9078c0f","50","withdrawal","vendor","admin","2050","2100","2022-01-08 07:02:47","2022-01-08 07:02:47","object:63",
"7","2vendorf9078c0f","500","deposit","admin","vendor","1550","2050","2022-01-08 07:02:41","2022-01-08 07:02:41","object:64",
"6","2vendorf9078c0f","500","deposit","admin","vendor","1050","1550","2022-01-08 07:02:37","2022-01-08 07:02:37","object:65",
"5","2vendorf9078c0f","50","deposit","admin","vendor","1000","1050","2022-01-08 07:02:32","2022-01-08 07:02:32","object:66",
"4","2vendorf9078c0f","1000","deposit","admin","vendor","0","1000","2022-01-08 07:01:56","2022-01-08 07:01:56","object:67",
"3","2vendorf9078c0f","0","redeem","vendor","admin","0","0","2022-01-08 07:01:45","2022-01-08 07:01:45","object:68",
"2","2vendorf9078c0f","-500","withdrawal","vendor","admin","-500","0","2022-01-08 07:01:45","2022-01-08 07:01:45","object:69",
"1","2vendorf9078c0f","500","deposit","admin","vendor","0","500","2022-01-08 06:25:52","2022-01-08 06:25:52","object:70",
